Linux 6.16.0-rc3-lizhijian-promotion-nopatch+ (slse16b4) 	06/27/25 	_x86_64_	(4 CPU)

11:13:45     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
11:13:46         4.00      0.00 131270.00      0.00 867577.00      0.00      0.00      0.00  65536.00      0.00
11:13:47      2848.00   4872.00 131075.00      0.00  65767.00      0.00      0.00      0.00  65519.00      0.00
11:13:48         0.00      0.00 131072.00      0.00  65536.00      0.00      0.00      0.00  65554.00      0.00
11:13:49         0.00      0.00 153348.00      0.00  77063.00      0.00      0.00      0.00  76479.00      0.00
11:13:50         0.00      0.00 240208.00      0.00 120107.00      0.00      0.00      0.00 120127.00      0.00
11:13:51         0.00      0.00  99118.00      0.00  47177.00 366432.00      0.00  26908.00  33565.00  13448.00
11:13:52         0.00      0.00  54208.00      0.00  12504.00 458463.00      0.00  16844.00   4051.00   8428.00
11:13:53         0.00      0.00    308.00      0.00    158.00      0.00      0.00      0.00    124.00      0.00
11:13:54         0.00      0.00 142691.00      0.00  10327.00  93464.00      0.00      0.00   9998.00      0.00
11:13:55         0.00      0.00 130281.00      0.00    426.00      0.00      0.00      0.00      5.00      0.00
11:13:56         0.00      0.00 102859.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00
11:13:57         0.00      0.00  46144.00      0.00     18.00      0.00      0.00      0.00      0.00      0.00
11:13:58         0.00      0.00 122745.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00
11:13:59         0.00      0.00  78098.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:14:00         0.00      0.00  83638.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00
11:14:01         0.00      0.00 117205.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:14:02         0.00      0.00 150548.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00
11:14:03         0.00      0.00  50295.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
11:14:04         0.00      0.00 122745.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00
11:14:05         0.00      0.00 115446.00      0.00  37352.00      0.00      0.00      0.00  37348.00      0.00
11:14:06         0.00    304.00   3892.00      0.00    807.00      0.00      0.00      0.00      0.00      0.00
11:14:07         0.00    296.00 128550.00      0.00   3972.00      0.00      0.00      0.00      0.00      0.00
11:14:08         0.00      0.00  40750.00      0.00    560.00      0.00      0.00    532.00      0.00    266.00
11:14:09         0.00      0.00      0.00      0.00    571.00      0.00      0.00      0.00      0.00      0.00
11:14:10         0.00      0.00 251245.00      0.00 189441.00 172231.00      0.00 177638.00 100598.00  88798.00
11:14:11         0.00    836.00 115615.00      0.00  41414.00 305099.00      0.00  43398.00  18521.00  21699.00
11:14:12         0.00      0.00    184.00      0.00    110.00      0.00      0.00      0.00      3.00     21.00
11:14:13         0.00      0.00  37703.00      0.00  22088.00  22182.00      0.00  23756.00  10157.00  11878.00
11:14:14         0.00      0.00  32056.00      0.00  16420.00 172924.00      0.00  16572.00   8132.00   8286.00
11:14:15         0.00      0.00  75720.00      0.00   4709.00 119275.00      0.00      0.00   4125.00      0.00
